complicated_sentence,simplified_sentence,difficult_word,easy_word,meaning_of_difficult_word
i love cats,i like dogs,love,like,a strong positive emotion of regard and affection
i love cats,i like dogs,cats,dogs,feline mammal usually having thick soft fur and no ability to roar: domestic cats; wildcats
"Theia, a one-year-old bully breed mix, was hit by a car and buried in a field.","Theia , a one-year-old breed mix , was hit by a car . It was buried in a field",bully,,a cruel and brutal fellow
"one side of the armed conflicts is composed mainly of the sudanese military and the janjaweed, a sudanese militia group recruited mostly from the afro-arab abbala tribes of the northern rizeigat region in sudan.","one side of the armed conflict is made up of the sudanese military and the janjaweed, a sudanese militia group brought mostly from the afro-arab abbala tribes of the northern rizeigat region in sudan.",composed,,form the substance of
"one side of the armed conflicts is composed mainly of the sudanese military and the janjaweed, a sudanese militia group recruited mostly from the afro-arab abbala tribes of the northern rizeigat region in sudan.","one side of the armed conflict is made up of the sudanese military and the janjaweed, a sudanese militia group brought mostly from the afro-arab abbala tribes of the northern rizeigat region in sudan.",mainly,,for the most part
"one side of the armed conflicts is composed mainly of the sudanese military and the janjaweed, a sudanese militia group recruited mostly from the afro-arab abbala tribes of the northern rizeigat region in sudan.","one side of the armed conflict is made up of the sudanese military and the janjaweed, a sudanese militia group brought mostly from the afro-arab abbala tribes of the northern rizeigat region in sudan.",recruited,brought,register formally as a participant or member
fives is a british sport believed to derive from the same origins as many racquet sports.,fives is a british sport. it comes from the same origin as many racquet sports.,believed,,accept as true; take to be true
fives is a british sport believed to derive from the same origins as many racquet sports.,fives is a british sport. it comes from the same origin as many racquet sports.,derive,comes,reason by deduction; establish by deduction
"at the voyager 2 images ophelia appears as an elongated object, the major axis pointing towards uranus.","at the voyager 2 images ophelia appears as a stretched object, the major pointing towards uranus.",elongated,stretched,make long or longer by pulling and stretching
"at the voyager 2 images ophelia appears as an elongated object, the major axis pointing towards uranus.","at the voyager 2 images ophelia appears as a stretched object, the major pointing towards uranus.",axis,,a straight line through a body or figure that satisfies certain conditions
the british decided to eliminate him and take the land by force.,the british decided to stop him and take the land by force.,eliminate,stop,"terminate, end, or take out"
"in architectural decoration small pieces of colored and iridescent shell have been used to create mosaics and inlays, which have been used to decorate walls, furniture and boxes.","in architectural decoration small pieces of colored shell have been used to make shell shells and inlays. these have been used for decorate walls, furniture and boxes.",iridescent,shell,varying in color when seen in different lights or from different angles
"in architectural decoration small pieces of colored and iridescent shell have been used to create mosaics and inlays, which have been used to decorate walls, furniture and boxes.","in architectural decoration small pieces of colored shell have been used to make shell shells and inlays. these have been used for decorate walls, furniture and boxes.",create,,make or cause to be or to become
"in architectural decoration small pieces of colored and iridescent shell have been used to create mosaics and inlays, which have been used to decorate walls, furniture and boxes.","in architectural decoration small pieces of colored shell have been used to make shell shells and inlays. these have been used for decorate walls, furniture and boxes.",mosaics,shells,art consisting of a design made of small pieces of colored stone or glass
"it is theoretically possible that the other editors who may have reported you, and the administrator who blocked you, are part of a conspiracy against someone half a world away they' ve never met in person.","the other editors who may have reported you, and the administrator who blocked you, are part of a conspiracy against someone half a world away they've never met in person.",theoretically,,in theory; according to the assumed facts
"it is theoretically possible that the other editors who may have reported you, and the administrator who blocked you, are part of a conspiracy against someone half a world away they' ve never met in person.","the other editors who may have reported you, and the administrator who blocked you, are part of a conspiracy against someone half a world away they've never met in person.",possible,,something that can be done
"it is theoretically possible that the other editors who may have reported you, and the administrator who blocked you, are part of a conspiracy against someone half a world away they' ve never met in person.","the other editors who may have reported you, and the administrator who blocked you, are part of a conspiracy against someone half a world away they've never met in person.",ve,,
"this stamp remained the standard letter stamp for the remainder of victoria's reign, and vast quantities were printed.",this stamp remained the standard letter stamp for the rest of victoria's reign. most of them were printed.,remainder,rest,something left after other parts have been taken away
"this stamp remained the standard letter stamp for the remainder of victoria's reign, and vast quantities were printed.",this stamp remained the standard letter stamp for the rest of victoria's reign. most of them were printed.,vast,,unusually great in size or amount or degree or especially extent or scope; ; ; ; ; ; ; ; ; - W.R.Inge
"this stamp remained the standard letter stamp for the remainder of victoria's reign, and vast quantities were printed.",this stamp remained the standard letter stamp for the rest of victoria's reign. most of them were printed.,quantities,,how much there is or how many there are of something that you can quantify
weelkes was later to find himself in trouble with the chichester cathedral authorities for his heavy drinking and immoderate behaviour.,weelkes was later to find himself in trouble with the chichester cathedral authorities because of his heavy drinking behavior.,immoderate,,beyond reasonable limits
weelkes was later to find himself in trouble with the chichester cathedral authorities for his heavy drinking and immoderate behaviour.,weelkes was later to find himself in trouble with the chichester cathedral authorities because of his heavy drinking behavior.,behaviour,behavior,the action or reaction of something (as a machine or substance) under specified circumstances
"in return, rollo swore fealty to charles, converted to christianity, and undertook to defend the northern region of france against the incursions of other viking groups.","in return, rollo swore fealty to charles, changed to christianity. this would defend the northern region of france against other viking groups.",converted,changed,change from one system to another or to a new plan or policy
"in return, rollo swore fealty to charles, converted to christianity, and undertook to defend the northern region of france against the incursions of other viking groups.","in return, rollo swore fealty to charles, changed to christianity. this would defend the northern region of france against other viking groups.",undertook,,enter upon an activity or enterprise
"in return, rollo swore fealty to charles, converted to christianity, and undertook to defend the northern region of france against the incursions of other viking groups.","in return, rollo swore fealty to charles, changed to christianity. this would defend the northern region of france against other viking groups.",incursions,,the act of entering some territory or domain (often in large numbers)
"disney received a full-size oscar statuette and seven miniature ones, presented to him by 10-year-old child actress shirley temple.",disney received a full-size oscar statuette and seven miniature ones. she was given to him by 10 - year old child actress shirley temple.,presented,given,give an exhibition of to an interested audience
they are castrated so that the animal may be more docile or may put on weight more quickly.,the animal may be better so that the animal may be more docile or may put on weight more quickly.,castrated,,deprive of strength or vigor
"historically, the sensations of itch and pain have not been considered to be independent of each other until recently, where it was found that itch has several features in common with pain, but exhibits notable differences.","historically, itch and pain have not been considered to be independent of each other until recently, where it was found that itch has several features in common with pain, but has many different differences.",sensations,,an unelaborated elementary awareness of stimulation
"historically, the sensations of itch and pain have not been considered to be independent of each other until recently, where it was found that itch has several features in common with pain, but exhibits notable differences.","historically, itch and pain have not been considered to be independent of each other until recently, where it was found that itch has several features in common with pain, but has many different differences.",exhibits,,an object or statement produced before a court of law and referred to while giving evidence
"historically, the sensations of itch and pain have not been considered to be independent of each other until recently, where it was found that itch has several features in common with pain, but exhibits notable differences.","historically, itch and pain have not been considered to be independent of each other until recently, where it was found that itch has several features in common with pain, but has many different differences.",notable,different,a celebrity who is an inspiration to others
"shortly after attaining category 4 status, the outer convection of the hurricane became ragged.","shortly after reaching category 4 status, it became a category 4 hurricane, and became a category 4 hurricane.",attaining,reaching,to gain with effort
"shortly after attaining category 4 status, the outer convection of the hurricane became ragged.","shortly after reaching category 4 status, it became a category 4 hurricane, and became a category 4 hurricane.",outer,,being on the outside or further from a center
"shortly after attaining category 4 status, the outer convection of the hurricane became ragged.","shortly after reaching category 4 status, it became a category 4 hurricane, and became a category 4 hurricane.",convection,hurricane,the transfer of heat through a fluid (liquid or gas) caused by molecular motion
"shortly after attaining category 4 status, the outer convection of the hurricane became ragged.","shortly after reaching category 4 status, it became a category 4 hurricane, and became a category 4 hurricane.",ragged,,treat cruelly
"he settled in london, devoting himself chiefly to practical teaching.","he lived in london, and went to work himself chiefly to practical teaching.",settled,lived,"settle into a position, usually on a surface or ground"
"he settled in london, devoting himself chiefly to practical teaching.","he lived in london, and went to work himself chiefly to practical teaching.",devoting,work,"give entirely to a specific person, activity, or cause"
"shade sets the main plot of the novel in motion when he impetuously defies that law, and inadvertently initiates a chain of events that leads to the destruction of his colony's home, forcing their premature migration, and his separation from them.","shade sets the main plot of the novel in motion when he looks like that law. he started a chain of events that leads to the destruction of his colony's home, forcing their premature migration, and his separation from them.",impetuously,,in an impulsive or impetuous way; without taking cautions
"shade sets the main plot of the novel in motion when he impetuously defies that law, and inadvertently initiates a chain of events that leads to the destruction of his colony's home, forcing their premature migration, and his separation from them.","shade sets the main plot of the novel in motion when he looks like that law. he started a chain of events that leads to the destruction of his colony's home, forcing their premature migration, and his separation from them.",defies,looks,resist or confront with resistance
"shade sets the main plot of the novel in motion when he impetuously defies that law, and inadvertently initiates a chain of events that leads to the destruction of his colony's home, forcing their premature migration, and his separation from them.","shade sets the main plot of the novel in motion when he looks like that law. he started a chain of events that leads to the destruction of his colony's home, forcing their premature migration, and his separation from them.",inadvertently,,without knowledge or intention
"shade sets the main plot of the novel in motion when he impetuously defies that law, and inadvertently initiates a chain of events that leads to the destruction of his colony's home, forcing their premature migration, and his separation from them.","shade sets the main plot of the novel in motion when he looks like that law. he started a chain of events that leads to the destruction of his colony's home, forcing their premature migration, and his separation from them.",initiates,started,someone new to a field or activity
britpop emerged from the british independent music scene of the early 1990s and was characterised by bands influenced by british guitar pop music of the 1960s and 1970s.,britpop comes from the british independent music scene of the early 1990s. the music was started by the british guitar pop music of the 1960s and 1970s.,emerged,started,"come out into view, as from concealment"
britpop emerged from the british independent music scene of the early 1990s and was characterised by bands influenced by british guitar pop music of the 1960s and 1970s.,britpop comes from the british independent music scene of the early 1990s. the music was started by the british guitar pop music of the 1960s and 1970s.,characterised,comes,be characteristic of
britpop emerged from the british independent music scene of the early 1990s and was characterised by bands influenced by british guitar pop music of the 1960s and 1970s.,britpop comes from the british independent music scene of the early 1990s. the music was started by the british guitar pop music of the 1960s and 1970s.,bands,music,an unofficial association of people or groups
britpop emerged from the british independent music scene of the early 1990s and was characterised by bands influenced by british guitar pop music of the 1960s and 1970s.,britpop comes from the british independent music scene of the early 1990s. the music was started by the british guitar pop music of the 1960s and 1970s.,influenced,,have and exert influence or effect
thereafter the county's administration was conducted at duns or lauder until greenlaw became the county town in 1596.,thereafter the county's government was done at duns or lauder until greenlaw became the county town in 1596.,administration,government,a method of tending to or managing the affairs of a some group of people (especially the group's business affairs)
thereafter the county's administration was conducted at duns or lauder until greenlaw became the county town in 1596.,thereafter the county's government was done at duns or lauder until greenlaw became the county town in 1596.,conducted,,direct the course of; manage or control
computer performance is characterized by the amount of useful work accomplished by a computer system compared to the time and resources used.,computer performance is different from the amount of useful work done by a computer system compared to the time and resources used.,characterized,,describe or portray the character or the qualities or peculiarities of
computer performance is characterized by the amount of useful work accomplished by a computer system compared to the time and resources used.,computer performance is different from the amount of useful work done by a computer system compared to the time and resources used.,accomplished,,put in effect
"bremer reported plans to put saddam on trial, but claimed that the details of such a trial had not yet been determined.","bremer reported plans to put saddam on trial. however, the details of such a trial had not yet been found.",claimed,,assert or affirm strongly; state to be true or existing
"bremer reported plans to put saddam on trial, but claimed that the details of such a trial had not yet been determined.","bremer reported plans to put saddam on trial. however, the details of such a trial had not yet been found.",determined,found,"establish after a calculation, investigation, experiment, survey, or study"
"at four-and-a-half years old he was left to fend for himself on the streets of northern italy for the next four years, living in various orphanages and roving through towns with groups of other homeless children.","at four-and-a-half years old he was left to fend for himself on the streets of northern italy for the next four years, living in towns with groups of other homeless children.",orphanages,,the condition of being a child without living parents
"at four-and-a-half years old he was left to fend for himself on the streets of northern italy for the next four years, living in various orphanages and roving through towns with groups of other homeless children.","at four-and-a-half years old he was left to fend for himself on the streets of northern italy for the next four years, living in towns with groups of other homeless children.",roving,,travelling about without any clear destination
others have theorized that tresca was eliminated by the nkvd as retribution for criticism of the stalin regime of the soviet union.,"others have said that tresca was eliminated by the nkvd, because there was criticism of the stalin government of the soviet union.",theorized,said,to believe especially on uncertain or tentative grounds
others have theorized that tresca was eliminated by the nkvd as retribution for criticism of the stalin regime of the soviet union.,"others have said that tresca was eliminated by the nkvd, because there was criticism of the stalin government of the soviet union.",retribution,,a justly deserved penalty
others have theorized that tresca was eliminated by the nkvd as retribution for criticism of the stalin regime of the soviet union.,"others have said that tresca was eliminated by the nkvd, because there was criticism of the stalin government of the soviet union.",regime,government,the organization that is the governing authority of a political unit
"furthermore, spectroscopic studies have shown evidence of hydrated minerals and silicates, which indicate rather a stony surface composition.","because of this, spectroscopic studies have shown evidence of hydrated minerals and silicates, which show a stony surface.",furthermore,,in addition
"furthermore, spectroscopic studies have shown evidence of hydrated minerals and silicates, which indicate rather a stony surface composition.","because of this, spectroscopic studies have shown evidence of hydrated minerals and silicates, which show a stony surface.",indicate,,be a signal for or a symptom of
"furthermore, spectroscopic studies have shown evidence of hydrated minerals and silicates, which indicate rather a stony surface composition.","because of this, spectroscopic studies have shown evidence of hydrated minerals and silicates, which show a stony surface.",composition,,the spatial property resulting from the arrangement of parts in relation to each other and to the whole
"a fee is the price one pays as remuneration for services, especially the honorarium paid to a doctor, lawyer, consultant, or other member of a learned profession.","a fee is the price one pays for services, especially the honorarium paid to a doctor, lawyer, consultant, or other member of the government.",remuneration,government,something that remunerates
"a fee is the price one pays as remuneration for services, especially the honorarium paid to a doctor, lawyer, consultant, or other member of a learned profession.","a fee is the price one pays for services, especially the honorarium paid to a doctor, lawyer, consultant, or other member of the government.",learned,,gain knowledge or skills
"a fee is the price one pays as remuneration for services, especially the honorarium paid to a doctor, lawyer, consultant, or other member of a learned profession.","a fee is the price one pays for services, especially the honorarium paid to a doctor, lawyer, consultant, or other member of the government.",profession,,the body of people in a learned occupation
"the britannica was primarily a scottish enterprise, as symbolised by its thistle logo, the floral emblem of scotland.","the britannica was mostly a scottish company. it was used by its thistle logo, the emblem of scotland.",primarily,,for the most part
"the britannica was primarily a scottish enterprise, as symbolised by its thistle logo, the floral emblem of scotland.","the britannica was mostly a scottish company. it was used by its thistle logo, the emblem of scotland.",enterprise,company,a purposeful or industrious undertaking (especially one that requires effort or boldness)
"the britannica was primarily a scottish enterprise, as symbolised by its thistle logo, the floral emblem of scotland.","the britannica was mostly a scottish company. it was used by its thistle logo, the emblem of scotland.",symbolised,,represent or identify by using a symbol; use symbols
"the britannica was primarily a scottish enterprise, as symbolised by its thistle logo, the floral emblem of scotland.","the britannica was mostly a scottish company. it was used by its thistle logo, the emblem of scotland.",floral,,resembling or made of or suggestive of flowers
"the latter provided audiences with the sort of information later provided by intertitles, and can help historians imagine what the film may have been like.","the latter gave audiences with the sort of information later given by intertitles, and can help historians imagine what the film may have been like.",provided,given,give something useful or necessary to
"the latter provided audiences with the sort of information later provided by intertitles, and can help historians imagine what the film may have been like.","the latter gave audiences with the sort of information later given by intertitles, and can help historians imagine what the film may have been like.",provided,,give something useful or necessary to
"the latter provided audiences with the sort of information later provided by intertitles, and can help historians imagine what the film may have been like.","the latter gave audiences with the sort of information later given by intertitles, and can help historians imagine what the film may have been like.",provided,given,give something useful or necessary to
"the latter provided audiences with the sort of information later provided by intertitles, and can help historians imagine what the film may have been like.","the latter gave audiences with the sort of information later given by intertitles, and can help historians imagine what the film may have been like.",provided,,give something useful or necessary to
"that is because real estate, businesses and other assets in the underground economies of the third world cannot be used as collateral to raise capital to finance industrial and commercial expansion.","that is because real estate, businesses and other things in the underground city of economies of the third world cannot be used as well as making money industrial and commercial expansion.",assets,money,anything of material value or usefulness that is owned by a person or company
"that is because real estate, businesses and other assets in the underground economies of the third world cannot be used as collateral to raise capital to finance industrial and commercial expansion.","that is because real estate, businesses and other things in the underground city of economies of the third world cannot be used as well as making money industrial and commercial expansion.",collateral,,a security pledged for the repayment of a loan
"that is because real estate, businesses and other assets in the underground economies of the third world cannot be used as collateral to raise capital to finance industrial and commercial expansion.","that is because real estate, businesses and other things in the underground city of economies of the third world cannot be used as well as making money industrial and commercial expansion.",raise,,the amount a salary is increased
"that is because real estate, businesses and other assets in the underground economies of the third world cannot be used as collateral to raise capital to finance industrial and commercial expansion.","that is because real estate, businesses and other things in the underground city of economies of the third world cannot be used as well as making money industrial and commercial expansion.",capital,city,assets available for use in the production of further assets
"that is because real estate, businesses and other assets in the underground economies of the third world cannot be used as collateral to raise capital to finance industrial and commercial expansion.","that is because real estate, businesses and other things in the underground city of economies of the third world cannot be used as well as making money industrial and commercial expansion.",finance,making,the commercial activity of providing funds and capital
some reports read that various factors increase the likelihood of both paralysis and hallucinations.,some reports read that different things make up the likelihood of both paralysis and hallucinations.,factors,things,anything that contributes causally to a result
some reports read that various factors increase the likelihood of both paralysis and hallucinations.,some reports read that different things make up the likelihood of both paralysis and hallucinations.,increase,,a quantity that is added
"from 1900 to 1920 many new facilities were constructed on campus, including facilities for the dental and pharmacy programs, a chemistry building, a building for the natural sciences, hill auditorium, large hospital and library complexes, and two residence halls.","from 1900 to 1920 many new facilities were built on campus, including buildings for the dental and pharmacy programs, a chemistry building for the natural sciences, hill auditorium, large hospital and library complexes, and two home halls.",constructed,built,make by combining materials and parts
"from 1900 to 1920 many new facilities were constructed on campus, including facilities for the dental and pharmacy programs, a chemistry building, a building for the natural sciences, hill auditorium, large hospital and library complexes, and two residence halls.","from 1900 to 1920 many new facilities were built on campus, including buildings for the dental and pharmacy programs, a chemistry building for the natural sciences, hill auditorium, large hospital and library complexes, and two home halls.",facilities,buildings,a building or place that provides a particular service or is used for a particular industry
"from 1900 to 1920 many new facilities were constructed on campus, including facilities for the dental and pharmacy programs, a chemistry building, a building for the natural sciences, hill auditorium, large hospital and library complexes, and two residence halls.","from 1900 to 1920 many new facilities were built on campus, including buildings for the dental and pharmacy programs, a chemistry building for the natural sciences, hill auditorium, large hospital and library complexes, and two home halls.",facilities,,a building or place that provides a particular service or is used for a particular industry
"from 1900 to 1920 many new facilities were constructed on campus, including facilities for the dental and pharmacy programs, a chemistry building, a building for the natural sciences, hill auditorium, large hospital and library complexes, and two residence halls.","from 1900 to 1920 many new facilities were built on campus, including buildings for the dental and pharmacy programs, a chemistry building for the natural sciences, hill auditorium, large hospital and library complexes, and two home halls.",building,home,a structure that has a roof and walls and stands more or less permanently in one place
"from 1900 to 1920 many new facilities were constructed on campus, including facilities for the dental and pharmacy programs, a chemistry building, a building for the natural sciences, hill auditorium, large hospital and library complexes, and two residence halls.","from 1900 to 1920 many new facilities were built on campus, including buildings for the dental and pharmacy programs, a chemistry building for the natural sciences, hill auditorium, large hospital and library complexes, and two home halls.",building,,a structure that has a roof and walls and stands more or less permanently in one place
"from 1900 to 1920 many new facilities were constructed on campus, including facilities for the dental and pharmacy programs, a chemistry building, a building for the natural sciences, hill auditorium, large hospital and library complexes, and two residence halls.","from 1900 to 1920 many new facilities were built on campus, including buildings for the dental and pharmacy programs, a chemistry building for the natural sciences, hill auditorium, large hospital and library complexes, and two home halls.",residence,,any address at which you dwell more than temporarily
"during an interview, edward gorey mentioned that bawden was one of his favorite artists, lamenting the fact that not many people remembered or knew about this fine artist.","during an interview, edward gorey said that bawden was one of his favorite artists. he said that not many people remembered or knew about this best artist.",mentioned,said,make reference to
"during an interview, edward gorey mentioned that bawden was one of his favorite artists, lamenting the fact that not many people remembered or knew about this fine artist.","during an interview, edward gorey said that bawden was one of his favorite artists. he said that not many people remembered or knew about this best artist.",lamenting,,express grief verbally
"during an interview, edward gorey mentioned that bawden was one of his favorite artists, lamenting the fact that not many people remembered or knew about this fine artist.","during an interview, edward gorey said that bawden was one of his favorite artists. he said that not many people remembered or knew about this best artist.",fact,,a piece of information about circumstances that exist or events that have occurred
"during an interview, edward gorey mentioned that bawden was one of his favorite artists, lamenting the fact that not many people remembered or knew about this fine artist.","during an interview, edward gorey said that bawden was one of his favorite artists. he said that not many people remembered or knew about this best artist.",fine,best,money extracted as a penalty
gable also earned an academy award nomination when he portrayed fletcher christian in 1935's mutiny on the bounty.,gable also won an academy award nomination when he played fletcher christian in 1935's mutiny on the bounty.,earned,won,earn on some commercial or business transaction; earn as salary or wages
gable also earned an academy award nomination when he portrayed fletcher christian in 1935's mutiny on the bounty.,gable also won an academy award nomination when he played fletcher christian in 1935's mutiny on the bounty.,portrayed,played,portray in words
